section,section_index,ENGLISH,RUSSIAN,JAPANESE,VIETNAMESE,KOREAN,ARMENIAN,CHINESE,SPANISH
details,18,"94 – Revised schedules weekday, Saturday, Sunday to improve service reliability. ","94 – График движения в будни, а также  по субботам и воскресеньям был  пересмотрен с целью повышения  надежности обслуживания.  ",94 – サービスの信頼性向上のため、平日、土曜  日、および日曜日の時刻表を改正します。  ,"94 – Sửa đổi lịch trình các ngày trong tuần,  Thứ Bảy, Chủ Nhật để cải thiện độ tin cậy  của dịch vụ.  ","94 – 서비스 신뢰도 향상을 위해 평일, 토요일,  일요일 일정을 수정했습니다.  ","94 – Շաբաթվա օրերին, շաբաթ և կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ",94 – 為了提高服務穩定性，已修訂週間、週六、 週日的巴士時間表。,"94 – Revisar los horarios entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
details,19,"106 – Revised schedules Saturday, Sunday to improve service reliability. ",106 – График движения по субботам и  воскресеньям был пересмотрен с целью  повышения надежности обслуживания.  ,106 – サービスの信頼性向上のため、土曜日、お  よび日曜日の時刻表を改正します。  ,"106 – Sửa đổi lịch trình các ngày Thứ Bảy,  Chủ Nhật để cải thiện độ tin cậy của dịch  vụ.  ","106 – 서비스 신뢰도 향상을 위해 토요일, 일요일  일정을 수정했습니다.  ",106 – Շաբաթ և կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ,106 – 為了提高服務穩定性，已修訂週六、週日 的巴士時間表。,106 – Revisar los horarios los sábados y los domingos para mejorar la confiabilidad del servicio.
details,20,108 – Add two additional trips weekdays to accommodate more riders. ,"108 – Добавить два дополнительных  рейса в будни, чтобы обеспечить  перевозку большего количества  пассажиров.  ",108 – 輸送定員増加のために、平日の運行数が  2本追加されます。  ,108 – Tăng thêm hai chuyến vào các ngày  trong tuần để phục vụ nhiều hành khách  hơn.  ,108 – 더 많은 승객을 수용할 수 있도록 평일에  운행을 두 건 추가합니다.  ,108 – Եվս երկու ուղղության ավելացում շաբաթվա օրերին՝ ավելի շատ ուղևորների սպասարկելու համար: ,108 – 週間增加兩班出行班次以載運更多乘客。,108 – Agregar dos viajes entre semana para atender a más pasajeros.
details,21,111 – Reroute westbound to serve Downtown Inglewood K Line Station. ,111 – Перенаправить в западном  направлении через остановку Downtown  Inglewood K Line.  ,111 – Downtown Inglewood K Line駅で運行する  ため、西行きをルート変更します。  ,111 – Đổi lịch trình về phía tây để phục vụ Ga  Downtown Inglewood K Line.  ,111 – Downtown Inglewood K노선역을 운행하기  위해 서쪽으로 노선을 변경합니다.  ,111 – Փոխեք գիծը դեպի արևմուտք՝ դեպի Downtown Inglewood K Line կայարանը. ,111 – 改變西行線路，在Downtown Inglewood K 線站停靠,111 – Cambiar la ruta hacia el oeste para dar servicio a la estación Inglewood de Metro K Line.
details,22,"150 – Revised schedules weekday, Saturday, Sunday to improve service reliability. ","150 – График движения в будни, а  также по субботам и воскресеньям  был пересмотрен с целью повышения  надежности обслуживания.  ",150 – サービスの信頼性向上のため、平日、土曜  日、および日曜日の時刻表を改正します。  ,"150 – Sửa đổi lịch trình các ngày trong tuần,  Thứ Bảy, Chủ Nhật để cải thiện độ tin cậy  của dịch vụ.  ","150 – 서비스 신뢰도 향상을 위해 평일, 토요일,  일요일 일정을 수정했습니다.  ","150 – Շաբաթվա օրերին, շաբաթ և կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ",150 – 為了提高服務穩定性，已修訂週間、週六、 週日的巴士時間表。,"150 – Revisar los horarios entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
details,23,"152 – Revised schedules weekday, Saturday to improve service reliability. ",152 – График движения в будни и по  субботам был пересмотрен с целью  повышения надежности обслуживания.  ,152 – サービスの信頼性向上のため、平日、およ  び土曜日の時刻表を改正します。  ,"152 – Sửa đổi lịch trình các ngày trong tuần,  Thứ Bảy để cải thiện độ tin cậy của dịch vụ.  ","152 – 서비스 신뢰도 향상을 위해 평일, 토요일  일정을 수정했습니다.  ",152 – Շաբաթ և կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ,152 – 為了提高服務穩定性，已修訂週間、週日 的巴士時間表。,152 – Revisar los horarios entre semana y los sábados para mejorar la confiabilidad del servicio.
details,24,180 – Improve weekday frequency from every 12 minutes to every 10 minutes. ,"180 – Увеличить частоту движения  автобусов в будни, уменьшив  промежутки между рейсами с 12 до 10  минут.  ",180 – 平日の運行頻度を12分に1本から10分に1  本に改善します。  ,180 – Tăng tần suất từ 12 phút một chuyến  thành 10 phút một chuyến vào các ngày  trong tuần.  ,180 – 평일 운행 간격을 12분에서 10분으로  개선합니다.  ,180 – Շաբաթվա օրերին վերանայված հաճախականություն՝ յուրաքանչյուր 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ: ,180 – 週間的班次時間間隔從每12分鐘一班縮 短為每10分鐘一班。,180 – Mejorar la frecuencia entre semana de cada 12 minutos a 10 minutos.
details,25,207 – Improve weekday midday frequency from every 10 minutes to every 7.5 minutes.,"207 – Увеличить частоту движения  автобусов в будни в обеденное время,  уменьшив промежутки между рейсами с  10 до 7,5 минут.  ",207 – 平日の日中の運行頻度を10分に1本から  7.5分に1本に改善します。  ,207 – Tăng tần suất từ 10 phút một chuyến  thành 7.5 phút một chuyến vào giữa các  ngày trong tuần..  ,207 – 평일 낮 시간 운행 간격을 10분에서 7.5  분으로 개선합니다.   ,207 – կեսօրին վերանայված հաճախականություն՝ յուրաքանչյուր 10 րոպեի փոխարեն յուրաքանչյուր 7.5 րոպեն մեկ:  ,207 – 週間午間的班次時間間隔從每10分鐘一 班縮短為每7.5分鐘一班。,207 – Mejorar la frecuencia entre semana al mediodía de cada 10 minutos a 7.5 minutos
details,26,"210 – Reroute northbound via Crenshaw Bl Leimert Park K Line Station. Improve weekday, Saturday, Sunday frequency from every 12-15 minutes to every 10 minutes. Revised schedule weekday, Saturday, Sunday to improve service reliability.","210 – Перенаправить в северном  направлении через остановку Crenshaw  Bl Leimert Park K Line. Увеличить частоту  движения автобусов в будни, по  субботам и воскресеньям, уменьшив  промежутки между рейсами с 12–15 до  10 минут. График движения в будни,  а также по субботам и воскресеньям  был пересмотрен с целью повышения  надежности обслуживания.  ",210 – Crenshaw Bl Leimert Park K Line駅を経由  するため北行きルートを変更。平日、土曜日、お  よび日曜日の運行頻度を12-15分に1本から10分  に1本に改善します。サービスの信頼性向上のた  め、平日、土曜日、および日曜日の時刻表を改  正します。  ,"210 – Đổi lịch trình về phía bắc qua Ga  Crenshaw Bl Leimert Park K Line. Tăng tần  suất từ 12-15 phút một chuyến thành 10  phút một chuyến vào các ngày trong tuần,  Thứ Bảy, Chủ Nhật. Sửa đổi lịch trình các  ngày trong tuần, Thứ Bảy, Chủ Nhật để cải  thiện độ tin cậy của dịch vụ.  ","210 – Crenshaw Bl Leimert Park K Line Station  을 경유하는 북쪽으로 노선을 변경합니다. 평일,  토요일, 일요일 운행 간격은 12~15분에서 10  분으로 개선합니다. 서비스 신뢰도 향상을 위해  평일, 토요일, 일요일 일정을 수정했습니다.  ","210 – Փոխեք գիծը դեպի հյուսիս՝ Crenshaw Bl Leimert Park K Line կայարանով: Շաբաթվա օրերին, շաբաթ և կիրակի օրերին վերանայված հաճախականություն՝ յուրաքանչյուր 12 15 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ: Վերանայված ժամանակացույց շաբաթվա, շաբաթ և կիրակի օրերի համար՝ ծառայության հուսալիությունը բարելավելու նպատակով: ",210 – 改變北行線路，途徑Crenshaw Bl Leimert Park站。週間、週六、週日的班次時間間隔從每 12-15分鐘一班縮短為每10分鐘一班。為了提高 服務穩定性，已修訂週間、週六、週日的巴士時 間表。,"210 – Cambiar la ruta hacia el norte a través de la estación Crenshaw Bl Leimert Park en la K Line. Mejorar la frecuencia entre semana, los sábados y los domingos de cada 12 a 15 minutos a 10 minutos. Revisar el horario entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
details,27,211/215 – Extend route to serve Downtown Inglewood K Line Station.,"211/215 – Продлить маршрут, чтобы  обслуживать центр города Станция  Инглвуд линии К.  ",211/215 – ルートを延長してダウンタウンにサー  ビスを提供するイングルウッド K ライン駅。 ,211/215 – Mở rộng tuyến đường đến trung  tâm thành phố Nhà ga Inglewood K Line.  ,211/215 – 시내로 향하는 노선 확장잉글우드 K  라인 역.  ,211/215 – Ընդլայնել երթուղին՝ սպասարկելու Կենտրոնը Inglewood K Line Station. ,211/215 – 延長路線以服務市中心英格爾伍德 K 線站。,211/215 – La ruta se extenderá para dar servicio a la estación Downtown Inglewood de Metro K Line.
details,28,"212 – Route change. This line will end near the Hollywood/Highland Station and will no longer serve Hollywood Bl and the Hollywood/Vine Station (Line 217 will still serve this route segment). Board Line 212 South on westbound Hollywood Bl at Sycamore Av. Resources will be redeployed with higher frequency for this line, with weekday frequency improved from every 12 to every 10 minutes. Extend three late night trips to or from Hawthorne/Lennox Station weekday, Saturday, Sunday. Add three extra trips Saturday, Sunday to accommodate more riders.","212 – Изменение маршрута. Конечной  остановкой маршрута станет Hollywood/  Highland, остановки Hollywood Bl и  Hollywood/Vine в него больше не  входят (доехать до них по-прежнему  можно будет автобусом № 217).  Пассажиропоток по этому маршруту  увеличится за счет уменьшения  промежутков между рейсами с 12 до 10  минут. В будни, субботу и воскресенье  продлить маршрут трех ночных  рейсов до остановки Hawthorne/Lennox,  обратные рейсы также начинать от  указанной остановки. Добавить три  дополнительных рейса по субботам  и воскресеньям, чтобы обеспечить  перевозку большего количества  пассажиров.  ",212 – ルートが変更されます。この路線は  Hollywood/Highland 駅付近で終点とな  り、Hollywood BlおよびHollywood/Vine 駅へは  運行しません（217系統は引き続きこのルート区  間を運行します）。この路線の運行頻度を向上  させるようにリソースの配置転換を行い、平日  の運行頻度を12分に1本から10分に1本に改善し  ます。平日、土曜日、および日曜日の3本の深夜  運行便をHawthorne/Lennox 駅発着となるよう  延長します。輸送定員増加のために、土曜日お  よび日曜日の運行数が3本追加されます。  ,"212 – Thay đổi lộ trình. Tuyến này sẽ có  đích đến gần Ga Hollywood/Highland và sẽ  không còn phục vụ Ga Hollywood Bl và Ga  Hollywood/Vine (Tuyến 217 sẽ vẫn phục vụ  đoạn lộ trình này). Các nguồn lực hỗ trợ sẽ  được triển khai lại với tần suất cao hơn cho  tuyến này, với tần suất tăng từ 12 phút một  chuyến thành 10 phút một chuyến vào các  ngày trong tuần. Tăng giờ hoạt động cho  ba chuyến vào đêm muộn đến hoặc đi từ  Ga Hawthorne/Lennox vào các ngày trong  tuần, Thứ Bảy, Chủ Nhật. Tăng thêm ba  chuyến vào các ngày Thứ Bảy, Chủ Nhật để  phục vụ nhiều hành khách hơn.  ","212 – 노선 변경. 이 노선은 Hollywood/  Highland 역 근처에서 종료되며, Hollywood Bl  및 Hollywood/Vine 역에 대한 운행 서비스를 더  이상 제공하지 않습니다(217번은 여전히 이 노선  구간을 운행합니다). 이 노선 운행이 더 높은  빈도로 재배치되며, 평일 운행 간격은 12분에서  10분으로 개선됩니다. 평일, 토요일, 일요일에  Hawthorne/Lennox 역을 오가는 심야 운행 3회를  연장합니다. 더 많은 승객을 수용할 수 있도록  토요일, 일요일에 운행을 3회 추가합니다.  ","212 – Երթուղու փոփոխություն: Այս գիծը կավարտվի Hollywood/Highland կայարանում և այլևս չի սպասարկի Hollywood Bl և Hollywood/Vine կայարանները (217-րդ գիծը կշարունակի սպասարկել երթուղու այս հատվածը): Այս գծի համար ռեսուրսներ կվերաբաշխվեն հաճախականությունը բարձրացնելու համար՝ շաբաթվա օրերին յուրաքանչյուր 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ սպասարկելու նպատակով: Երեք ուշ գիշերային ուղղություններ կավելացվի դեպի Hawthorne/ Lennox կայարան և նույն կայարանից դուրս շաբաթվա օրերին, շաբաթ և կիրակի օրերին: Եվս երեք հավելյալ ուղղության ավելացում շաբաթ և կիրակի օրերին՝ ավելի շատ ուղևորներ սպասարկելու համար: ",212 – 路線變更。此線路巴士的終點站將改在 Hollywood/Highland站，不再停靠Hollywood Bl 和Hollywood/Vine站（217號線仍會停靠此路段）。此線路將會重新安排更密集的巴士資源班 次，週間的班次時間間隔從每12分鐘一班縮短 為每10分鐘一班。週間、週六、週日將增加三班 往來Hawthorne/Lennox站的深夜出行班次。週 六、週日將增加三班出行班次以載運更多乘客。,"212 – Cambio de ruta. Esta línea terminará cerca de la estación Hollywood/Highland y dejará de dar servicio a Hollywood Bl y a la estación Hollywood/Vine (la Línea 217 seguirá dando servicio en este segmento de la ruta). Aborde la Línea 212 sur en dirrección oeste en Hollywood Blvd en Sycamore Ave. Los recursos se redistribuirán con mayor frecuencia en esta línea, con una mejor frecuencia entre semana de cada 12 a 10 minutos. Ampliar tres viajes nocturnos hacia o desde la estación Hawthorne/Lennox entre semana, los sábados y los domingos. Agregar tres viajes los sábados y los domingos para atender a más pasajeros. "
details,29,217 – Improve weekday frequency from every 12 minutes to every 10 minutes. Revised schedule weekday to improve service reliability.,"217 – Увеличить частоту движения  автобусов в будни, уменьшив  промежутки между рейсами с 12 до  10 минут. График движения в будни  был пересмотрен с целью повышения  надежности обслуживания.  ",217 – 平日の運行頻度を12分に1本から10分に1  本に改善します。サービスの信頼性向上のため、  平日の時刻表を改正します。  ,217 – Tăng tần suất từ 12 phút một chuyến  thành 10 phút một chuyến vào các ngày  trong tuần. Sửa đổi lịch trình các ngày  trong tuần để cải thiện độ tin cậy của dịch  vụ. ,217 – 평일 운행 간격을 12분에서 10분으로  개선합니다. 서비스 신뢰도 향상을 위해 평일  일정을 수정했습니다.  ,217 – Շաբաթվա օրերին վերանայված հաճախականություն՝ յուրաքանչյուր 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ: Աշխատանքային օրերի համար վերանայված ժամանակացույց՝ սպասարկման հուսալիության բարձրացման նպատակով:,217 – 週間的班次時間間隔從每12分鐘一班縮 短為每10分鐘一班。為了提高服務穩定性，已修 訂週間的巴士時間表。訂週間的巴士時間表。,217 – Mejorar la frecuencia entre semana de cada 12 minutos a 10 minutos. Revisar el horario entre semana para mejorar la confiabilidad del servicio.
details,30,"224 – Line 224 will extend from Sylmar Station to Olive View Medical Center in place of Line 690 weekdays, Saturdays, Sundays. Weekday service frequency will increase to every 15 minutes between Universal City/Studio City Station and Sylmar Station, with service every 30 minutes between Sylmar Station and Olive View Medical Center. Saturdays and Sundays Line 224 service frequency will increase to every 20 minutes between Universal City/Studio City Station and Sylmar Station, with service every 40 minutes between Sylmar Station and Olive View Medical Center. The revised schedules weekday, Saturday, Sunday will improve service reliability.","224 – Маршрут автобуса №224 будет  продлен от остановки Sylmar до Olive View  Medical Center и заменит маршрут №690  по будням, субботам и воскресеньям.  По будням промежуток между рейсами  будет уменьшен до 15 минут между  остановкой Universal City/Studio City  и остановкой Sylmar и составлять 30  минут между остановкой Sylmar и  Olive View Medical Center. По субботам  и воскресеньям промежуток между  рейсами на маршруте № 224 будет  уменьшен до 20 минут между остановкой  Universal City/Studio City и остановкой  Sylmar и составлять 40 минут между  остановкой Sylmar и Olive View Medical  Center. График движения в будни, а  также по субботам и воскресеньям  был пересмотрен с целью повышения  надежности обслуживания.  ",224 – 224系統は、690系統の平日と土日の運  行に代わり、Sylmar駅からOlive View Medical  Centerまで延線します。平日の運行の頻度  は、Universal City/Studio City駅とSylmar駅の  間が15分ごと、そのうちSylmar 駅とOlive View  Medical Centerの間は30分間隔で、本数を増や  して運行します。土日の224系統は、Universal  City/Studio City駅とSylmar駅の間が20分ごと、  そのうちSylmar 駅とOlive View Medical Center  の間は40分間隔で、本数を増やして運行します。  この平日・土日のスケジュール変更は、サービス  への信頼性を高めます。  ," 224 – Tuyến 224 sẽ kéo dài từ Ga Sylmar  đến Olive View Medical Center thay cho  Tuyến 690 các ngày trong tuần, thứ Bảy và  Chủ Nhật. Tần suất phục vụ các ngày trong  tuần sẽ tăng lên 15 phút một chuyến giữa  Ga Universal City/Studio City và Ga Sylmar,  với tần suất phục vụ 30 phút một chuyến  giữa Ga Sylmar và Olive View Medical  Center. Vào thứ Bảy và Chủ Nhật, tần suất  phục vụ của Tuyến 224 sẽ tăng lên 20 phút  một chuyến giữa Ga Universal City/Studio  City và Ga Sylmar, với tần suất phục vụ 40  phút một chuyến giữa Ga Sylmar và Olive  View Medical Center. Sửa đổi lịch trình các  ngày trong tuần, Thứ Bảy, Chủ Nhật sẽ cải  thiện độ tin cậy của dịch vụ.  ","224 – 224번 노선은 평일, 토요일, 일요일 690  노선을 대신해 Sylmar역에서 Olive View Medical  Center까지 연장합니다. Universal City/Studio  City역과 Sylmar역 사이 평일 운행 간격은 15  분으로 늘어나며, Sylmar역과 Olive View Medical  Center 사이는 30분 간격으로 운행합니다. 224  노선의 토요일, 일요일 운행 간격은 Universal  City/Studio City Station역과 Sylmar역 사이는 20  분으로 늘어나며, Sylmar역과 Olive View Medical  Center 사이는 40분마다 운행됩니다. 수정된  일정은 평일, 토요일, 일요일에 서비스 신뢰성을  향상시킵니다.  ","224 – 224 գիծը կձգվի Sylmar Station-ից մինչև Olive View բժշկական կենտրոն՝ 690 գծի փոխարեն աշխատանքային օրերին, շաբաթ և կիրակի օրերին: Շաբաթվա օրերին սպասարկման հաճախականությունը կավելանա մինչև 15 րոպեն մեկ Universal City/Studio City Station-ի և Sylmar Station-ի միջև, և յուրաքանչյուր 30 րոպեն մեկ՝ Sylmar Station-ի և Olive View բժշկական կենտրոնի միջև: Շաբաթ և կիրակի օրերին 224 գծի սպասարկման հաճախականությունը կավելանա մինչև 20 րոպեն մեկ՝ Universal City/Studio City Station-ի և Sylmar Station-ի միջև, և յուրաքանչյուր 40 րոպեն մեկ՝ Sylmar Station-ի և Olive View բժշկական կենտրոնի միջև: Շաբաթվա աշխատանքային օրերի, շաբաթ, կիրակի օրերի, վերանայված գրաֆիկները կբարելավեն սպասարկման հուսալիությունը: ",224 – 224號線將取代在週間、週六及週日運 行的690號線，從Sylmar站延伸至Olive View Medical Center。工作日的班次時間間隔將增加 到Universal City/Studio City站和Sylmar站之間 每15分鐘一班，Sylmar站和Olive View Medical Center之間每30分鐘一班。224號線週六及週日 的班次時間間隔將增加到Universal City/Studio City站和Sylmar站之間每20分鐘一班，Sylmar站 和Olive View Medical Center之間每40分鐘一 班。修訂後的週間、週六及週日時間表將提高服 務穩定性。,"224 – La Línea 224 se extenderá desde Sylmar Station hasta Olive View Medical Center en lugar de la Línea 690 entre semana, sábados y domingos. La frecuencia del servicio entre semana aumentará a cada 15 minutos entre las estaciones Universal City/Studio City y Sylmar, con un servicio cada 30 minutos entre la estación Sylmar y Olive View Medical Center. Sábados y domingos, la frecuencia del servicio de la Línea 224 aumentará a cada 20 minutos entre las estaciones Universal City/Studio City y Sylmar, con servicio cada 40 minutos entre la estación Sylmar y Olive View Medical Center. Los horarios revisados de lunes a viernes, sábado y domingo mejorarán la confiabilidad del servicio."
details,31,234 – Revised schedule weekday to improve service reliability.,234 – График движения в будни был  пересмотрен с целью повышения  надежности обслуживания.  ,234 – サービスの信頼性向上のため、平日の時  刻表を改正します。  ,234 – Sửa đổi lịch trình các ngày trong tuần  để cải thiện độ tin cậy của dịch vụ.  ,234 – 서비스 신뢰도 향상을 위해 평일 일정을  수정했습니다.  ,234 – Աշխատանքային օրերի համար վերանայված ժամանակացույց՝ սպասարկման հուսալիության բարձրացման նպատակով: ,234 – 為了提高服務穩定性，已修訂週間的巴士 時間表。,234 – Revisar el horario entre semana para mejorar la confiabilidad del servicio.
details,32,237 – Reroute direct via Burbank Bl and Lankershim Bl to/from North Hollywood Station as planned in the NextGen Bus Plan to better distribute east-west bus service. ,237 – Перенаправить прямо через Burbank  Bl и Lankershim Bl к остановке North  Hollywood и в обратном направлении от  нее в соответствии с планом the NextGen  Bus Plan с целью улучшения автобусного  сообщения в направлении восток-запад.  ,237 – 東西のバス運行サービスをより円滑に進  めるため、NextGen Bus Planで計画されていた  通り、Burbank BlとLankershim Bl経由でNorth  Gollywood駅発/着直通のルート変更を行いま  す。  ,237 – Đổi lịch trình trực tiếp qua Burbank  Bl và Lankershim Bl đến/từ Ga North  Hollywood theo kế hoạch trong Chương  Trình NextGen Bus nhằm phân phối dịch vụ  xe buýt phía đông-tây tốt hơn.  ,237 – 동서 방향의 버스 서비스를 더 잘 분배하기  위해 NextGen 버스 플랜의 계획대로 Burbank Bl  과 Lankershim Bl을 경유해 North Hollywood  역으로/역에서 곧장 경로를 변경합니다.   ,"237 – Փոխեք ուղիղ երթուղին Burbank Bl-ով և Lankershim Bl-ով դեպի/Հյուսիսային Հոլիվուդի կայարան և հակառակ ուղղությամբ, ինչպես նախատեսված է NextGen Bus Plan-ում՝ ավելի լավ բաշխելու արևելք-արևմուտք ծառայությունը: ",237 – 根據NextGen巴士計劃，將途徑Burbank Bl 和Lankershim Bl以直接往返North Hollywood 站，從而更好地分配東西方向的巴士服務。,237 – Cambiar la ruta directamente a través de Burbank Bl y Lankershim Bl hacia/desde la estación North Hollywood como se planeó en el Plan de Autobuses NextGen para distribuir mejor el servicio de autobuses de este a oeste.
details,33,"240 – Improve weekday peak period frequency from every 12 minutes to every 10 minutes. Revised schedule weekday, Saturday, Sunday to improve service reliability. ","240 – Увеличить частоту движения автобусов в будни в период повышенного спроса, уменьшив промежутки между рейсами с 12 до 10 минут. График движения в будни, а также по субботам и воскресеньям был пересмотрен с целью повышения надежности обслуживания.",240 – 平日ピーク時の運行頻度を12分に1本か  ら10分に1本に改善します。サービスの信頼性向  上のため、平日、土曜日、および日曜日の時刻表  を改正します。  ,"240 – Tăng tần suất từ 12 phút một chuyến  thành 10 phút một chuyến vào các giờ cao  điểm trong tuần. Sửa đổi lịch trình các ngày  trong tuần, Thứ Bảy, Chủ Nhật để cải thiện  độ tin cậy của dịch vụ.  ","240 – 평일 피크 시간대 운행 간격을 12분에서 10  분으로 개선합니다. 서비스 신뢰도 향상을 위해  평일, 토요일, 일요일 일정을 수정했습니다.  ","240 – Շաբաթվա օրերին պիկ ժամերի վերանայված հաճախականություն՝ յուրաքանչյուր 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ: Վերանայված ժամանակացույց շաբաթվա, շաբաթ և կիրակի օրերի համար՝ ծառայության հուսալիությունը բարելավելու նպատակով: ",240 – 週間尖峰時段的班次時間間隔從每12分 鐘一班縮短為每10分鐘一班。為了提高服務穩 定性，已修訂週間、週六、週日的巴士時間表。,"240 – Mejorar la frecuencia de las horas pico entre semana de cada 12 minutos a 10 minutos. Revisar el horario entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio"
details,34,"265 – At Pico Rivera, service will terminate on Whittier Bl at Rosemead Bl due to closure of bus lot at Passons Bl/Jackson St. ",265 – В Pico Rivera конечная остановка маршрута будет на Whittier Bl у Rosemead Bl по причине закрытия автобусной стоянки на Passons Bl/Jackson St.,265 – Pico Riveraでは、Passons Bl/Jackson  Stのバス駐車場の閉鎖により、Whitter Blの  Rosemead Blでのサービス運行を停止します。  ,"265 – Tại Pico Rivera, dịch vụ sẽ ngừng ở  Whittier Bl tại Rosemead Bl do đóng cửa  bãi đậu xe buýt tại Passons Bl/Jackson St.  ",265 – Pico Rivera에서의 운행은 Passons Bl/  Jackson역의 버스 주차장 폐쇄로 인해 Whittier Bl  at Rosemead Bl에서 종료됩니다.  ,265 – Pico Rivera-ում ծառայությունը կդադարեցվի Whittier Bl-ում Rosemead Bl-ում՝ Passons Bl/Jackson St-ում դեպոյի փակման պատճառով:  ,265 – 在Pico Rivera，由於Passons Bl/Jackson St 的巴士站關閉，服務將在位於Rosemead Bl的 Whittier Bl關閉。,"265 – En Pico Rivera, el servicio terminará en Whittier Bl en Rosemead Bl debido al cierre del estacionamiento de autobuses en Passons Bl/Jackson St."
details,35,460 – Added one extra trip weekday to accommodate more riders. ,"460 – Добавить один дополнительный  рейс в будни, чтобы обеспечить  перевозку большего количества  пассажиров.  ",460 – 輸送定員増加のために、平日の運行数が  1本追加されます。  ,460 – Tăng thêm một chuyến vào các ngày  trong tuần để phục vụ nhiều hành khách  hơn.  ,460 – 더 많은 승객을 수용할 수 있도록 평일  운행을 한 건 추가했습니다.  ,460 – Մեկ հավելյալ ուղղության ավելացում շաբաթվա օրերին՝ ավելի շատ ուղևորների սպասարկելու համար:,460 – 週間已增加一班出行班次以載運更多乘 客。,460 – Se agregó un viaje entre semana para atender a más pasajeros.
details,36,"534 – Renumber this line as Line 134. No change to route or stops. Revised schedule weekday, Saturday, Sunday to improve service reliability. Added one extra trip weekday to accommodate more riders. ","534 – Изменить номер этого маршрута  на 134. Маршрут и перечень остановок  остается без изменений. График  движения в будни, а также по субботам и  воскресеньям был пересмотрен с целью  повышения надежности обслуживания.  Добавить один дополнительный рейс  в будни, чтобы обеспечить перевозку  большего количества пассажиров.  ",534 – この路線は134系統へと番号変更されま  す。ルートおよび停留所には変更ありません。サ  ービスの信頼性向上のため、平日、土曜日、およ  び日曜日の時刻表を改正します。輸送定員増加  のために、平日の運行数が1本追加されます。  ,"534 – Đặt lại số cho tuyến này là Tuyến 134.  Không thay đổi lộ trình hay điểm dừng. Sửa  đổi lịch trình các ngày trong tuần, Thứ Bảy,  Chủ Nhật để cải thiện độ tin cậy của dịch  vụ. Tăng thêm một chuyến vào các ngày  trong tuần để phục vụ nhiều hành khách  hơn.  ","534 – 이 노선 번호를 134번으로 바꿉니다.  노선이나 정류장은 변경되지 않습니다. 서비스  신뢰도 향상을 위해 평일, 토요일, 일요일 일정을  수정했습니다. 더 많은 승객을 수용할 수 있도록  평일 운행을 한 건 추가했습니다.  ","534 – Այս գծի համարի փոփոխություն 134-ի: Որևէ երթուղու կամ կայարանի փոփոխություն կատարված չէ: Վերանայված ժամանակացույց շաբաթվա, շաբաթ և կիրակի օրերի համար՝ ծառայության հուսալիությունը բարելավելու նպատակով: Մեկ հավելյալ ուղղության ավելացում շաբաթվա օրերին՝ ավելի շատ ուղևորների սպասարկելու համար: ",534 – 此線路巴士已更改為134號線。其路線或 停靠站維持不變。為了提高服務穩定性，已修訂 週間、週六、週日的巴士時間表。週間已增加一 班出行班次以載運更多乘客。,"534 – Renombrar esta línea como Línea 134 No hay cambios en la ruta ni en las paradas. Revisar el horario entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio. Se agregó un viaje entre semana para atender a más pasajeros."
